Product,Description,MedDRA Preferred Terms
2nd foods gerber sweet potatoes, Baby Food Products,"SOMNOLENCE, SLEEP DISORDER, FATIGUE"
3 diamonds fancy albacore tuna, Fishery/Seafood Prod,"NERVOUSNESS, FLATULENCE, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
3 fish cod, Fishery/Seafood Prod,"VISUAL IMPAIRMENT, DYSPNOEA, DIARRHOEA"
3 korochki red caviar flavored wheat croutons, Bakery Prod/Dough/Mix/Icing,"DIARRHOEA, ABDOMINAL PAIN"
3 musketeers candy bar, Choc/Cocoa Prod,"SLEEP DISORDER, PARAESTHESIA, HYPOAESTHESIA, HYPOAESTHESIA, HYPOAESTHESIA, HYPERSOMNIA, DRUG TOXICITY"
3 rivers self rising cornmeal mix, Whole Grain/Milled Grain Prod/Starch,"NEPHROLITHIASIS, CYSTITIS"
310 nutrition shakes, Dietary Conventional Foods/Meal Replacements,"Nervousness, Feeling jittery, Feeling hot"
321 french vanilla slimfast meal replacement shake, Dietary Conventional Foods/Meal Replacements,"SYNCOPE, NAUSEA, DIARRHOEA, ABDOMINAL PAIN, SYNCOPE, NAUSEA, DIARRHOEA, ABDOMINAL PAIN"
365 brand almond buttercrunchy, Nuts/Edible Seed,"VOMITING, RASH, NAUSEA, FATIGUE, DIARRHOEA"
365 crunchy peanut butter, Nuts/Edible Seed,TOOTH INJURY
365 every day value creamy peanut butter, Nuts/Edible Seed,"TOOTH DISORDER, PAIN"
365 everyday chopped kale, Vegetables/Vegetable Products,"Diarrhoea, Abdominal pain upper"
365 everyday organic vanilla ice cream sandwiches, Ice Cream Prod,"LOSS OF CONSCIOUSNESS, INSOMNIA, DYSPNOEA, DIZZINESS, DECREASED APPETITE, ABDOMINAL PAIN"
365 everyday value almond butter creamy, Nuts/Edible Seed,Hypersensitivity
365 everyday value crunchy peanut butter, Nuts/Edible Seed,DIZZINESS
365 everyday value dry roasted salted pistachio, Nuts/Edible Seed,"VOMITING, PYREXIA, PAIN, NAUSEA, HEADACHE, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN UPPER"
365 everyday value organic ice cream sandwiches, Ice Cream Prod,Urticaria
365 everyday value pine nuts, Nuts/Edible Seed,"DYSGEUSIA, DISCOMFORT, DYSGEUSIA, VOMITING, NAUSEA, DYSGEUSIA, DIARRHOEA, ABDOMINAL DISTENSION, DYSGEUSIA"
365 everyday value slivered almonds blanched, Nuts/Edible Seed,"SWOLLEN TONGUE, SWELLING, SWELLING, PHARYNGEAL OEDEMA, MOOD ALTERED, LIP SWELLING, HYPERSENSITIVITY, ANXIETY"
365 from whole foods spring water, Soft Drink/Water,"HAIR COLOUR CHANGES, HAIR COLOUR CHANGES"
365 organic creamy peanut butter, Nuts/Edible Seed,"VOMITING, FOOD POISONING, ABDOMINAL PAIN"
365 organic everyday value organic nondairy ricemilk, Filled Milk/Imit Milk Prod,"DIARRHOEA, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
365 organic ground cumin," Spices, Flavors And Salts","GASTROINTESTINAL DISORDER, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL DISCOMFORT"
365 organic vitamin d milk grade a pasteurized, Milk/Butter/Dried Milk Prod,"VOMITING, DIARRHOEA"
365 raw pine nuts, Nuts/Edible Seed,DYSGEUSIA
4 grain eggs, Egg/Egg Prod,"DIARRHOEA, DIARRHOEA, DIARRHOEA"
4 life nutrastart meal replacement drink vanilla, Dietary Conventional Foods/Meal Replacements,DYSGEUSIA
4c all natural parmesan grated cheese, Cheese/Cheese Prod,"NAUSEA, MALAISE, HEADACHE, DIARRHOEA, ABDOMINAL PAIN"
4c crumbs gluten free plain, Bakery Prod/Dough/Mix/Icing,"PRURITUS, FEELING ABNORMAL, ABDOMINAL DISCOMFORT"
4c foods grated parmesan and romano cheese, Cheese/Cheese Prod,"VOMITING, STOOL ANALYSIS ABNORMAL, NAUSEA, DIARRHOEA HAEMORRHAGIC, DIARRHOEA, BACTERIAL INFECTION"
4c foods home style 100 imported italian pecorino grated cheese, Cheese/Cheese Prod,"GASTROINTESTINAL INFLAMMATION, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
4c grated 100 natural parmesan cheese, Cheese/Cheese Prod,"HYPERSENSITIVITY, EYE PRURITUS, DYSPHAGIA"
4c grated parmesan and romano cheese, Cheese/Cheese Prod,"TOOTHACHE, FOREIGN BODY"
4c grated parmesan romano cheese, Cheese/Cheese Prod,"SALMONELLOSIS, NAUSEA, DIARRHOEA, SALMONELLOSIS, NAUSEA, DIARRHOEA"
4day cleanse support kitchocolate snacks, Dietary Conventional Foods/Meal Replacements,"Weight increased, Hypertension, Headache, Chest pain, Blood pressure increased, Angina unstable"
5 gum, Candy W/O Choc/Special/Chew Gum,"Diarrhoea, Abdominal distension"
5 lush, Candy W/O Choc/Special/Chew Gum,"SWELLING, RASH, LOCALISED OEDEMA, HYPERSENSITIVITY, SWELLING, RASH, LOCALISED OEDEMA, HYPERSENSITIVITY"
5 reduced fat creamy pb, Nuts/Edible Seed,"VOMITING, NAUSEA, GASTROENTERITIS SALMONELLA, DIARRHOEA HAEMORRHAGIC, DIARRHOEA, BODY TEMPERATURE INCREASED, ASTHENIA, ABDOMINAL PAIN"
5 white hot dog bun, Bakery Prod/Dough/Mix/Icing,"Vomiting, Throat irritation"
505 salsa hot southwest flavor organic, Vegetables/Vegetable Products,"DEPRESSION, ADVERSE EVENT"
5th season spice," Spices, Flavors And Salts",NAUSEA
65 giant brand walnuts, Nuts/Edible Seed,"SALMONELLOSIS, DIARRHOEA, CHILLS, ABDOMINAL PAIN"
6oz ahi yellow fin tuna portions frozen vacuum packaged, Fishery/Seafood Prod,"RASH, PRURITUS, PALPITATIONS, NAUSEA, NAIL DISCOLOURATION, HEART RATE ABNORMAL, HEADACHE, FOOD ALLERGY, FLUSHING, EYE IRRITATION, DIARRHOEA, CARDIAC FIBRILLATION, ABNORMAL SENSATION IN EYE"
7 select powdered mini donuts, Bakery Prod/Dough/Mix/Icing,"VOMITING, HEADACHE, DYSGEUSIA"
7 up bundt cake, Bakery Prod/Dough/Mix/Icing,"VOMITING, COUGH, BURNING SENSATION"
7days chocolate croissant, Bakery Prod/Dough/Mix/Icing,"Food poisoning, Abdominal pain upper"
7select go smart organic coldpressed juice clean  green, Vegetables/Vegetable Products,"Feeling abnormal, Dizziness, Blood glucose increased"
7up, Soft Drink/Water,"DIZZINESS, ANGER, LIP SWELLING, BURNING SENSATION, ANAPHYLACTIC REACTION, BURNING SENSATION"
7up 10, Soft Drink/Water,"SWELLING, PULMONARY OEDEMA"
7up 7up carbonated beverage, Soft Drink/Water,"GASTROINTESTINAL DISORDER, DIARRHOEA, ABDOMINAL PAIN"
7up cherry flavored, Soft Drink/Water,NAUSEA
7up diet soda, Soft Drink/Water,"HEADACHE, FATIGUE, DIZZINESS, ABDOMINAL PAIN"
7up lemon lime flavored soda, Soft Drink/Water,FEEDING DISORDER
7up lemon lime soda, Soft Drink/Water,"VOMITING, PHARYNGITIS, NAUSEA, MALAISE, HEADACHE, EAR PAIN, DIARRHOEA, CHEST PAIN"
7up mixed berry, Soft Drink/Water,"CHROMATURIA, CHROMATURIA, CHROMATURIA"
7up plus diet soda cherry flavored with calcium, Soft Drink/Water,"PRURITUS, CONJUNCTIVITIS ALLERGIC"
7up regular soda, Soft Drink/Water,MALAISE
7up soda, Soft Drink/Water,"NAUSEA, ABDOMINAL DISCOMFORT"
7up soft drink, Soft Drink/Water,"HEADACHE, DIZZINESS"
7up soft drink mix berry with calcium and vitamins, Soft Drink/Water,"TOOTH INJURY, PALPITATIONS, LOSS OF CONSCIOUSNESS, DIZZINESS, CONVULSION"
8 inch sgl holiday cake yellow cake with chocolate frosting, Bakery Prod/Dough/Mix/Icing,"VOMITING, URTICARIA, SYNCOPE, PALLOR, HYPERSENSITIVITY, HOSPITALISATION, FACE OEDEMA, EMERGENCY CARE EXAMINATION, ANAPHYLAXIS PROPHYLAXIS, ANAPHYLACTIC REACTION"
99 restaurant breaded cod fillet, Fishery/Seafood Prod,"VOMITING, TREMOR, NAUSEA, MALAISE, INFLUENZA LIKE ILLNESS, HAEMOPTYSIS, FATIGUE, DIARRHOEA HAEMORRHAGIC, DIARRHOEA, CAMPYLOBACTER INTESTINAL INFECTION, ASTHENIA, ABDOMINAL PAIN"
a and w diet root beer, Soft Drink/Water,"PAIN, MUSCULAR WEAKNESS, MIGRAINE, HEADACHE, FIBROMYALGIA, FATIGUE, DIZZINESS, CEREBROVASCULAR ACCIDENT, AURA, NAUSEA, DIARRHOEA"
a and w diet root beer soda, Soft Drink/Water,"DIARRHOEA, ABDOMINAL PAIN UPPER"
a and w root beer, Soft Drink/Water,"THROAT TIGHTNESS, RESPIRATORY DISORDER, NAUSEA, HYPERSENSITIVITY, HEART RATE ABNORMAL, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
a and w root beer float, Soft Drink/Water,"VOMITING, NAUSEA, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, ABDOMINAL PAIN"
a and w rootbeer, Soft Drink/Water,"HEADACHE, DYSGEUSIA"
a good source of protein large white eggs, Egg/Egg Prod,"Salmonellosis, Diarrhoea"
a la source organic lemonade mix with vitamin c, Beverage Bases/Conc/Nectar,"VOMITING, NAUSEA, HEPATOMEGALY, HEPATIC PAIN, ABDOMINAL PAIN, ABDOMINAL DISTENSION"
a legend in a nutshell virginia diner allnatural gourmet virginia peanuts, Nuts/Edible Seed,"VOMITING, PYREXIA, FEELING OF BODY TEMPERATURE CHANGE, FATIGUE, DIARRHOEA, ASTHENIA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, VOMITING, ABDOMINAL PAIN UPPER"
a taste of thai pad thai for two, Macaroni/Noodle Prod,"URTICARIA, HYPERSENSITIVITY, DYSPNOEA"
a world tea peppermint tea awakening, Coffee/Tea,"HEART RATE ABNORMAL, HEART RATE ABNORMAL"
a1 steak sauce, Mult Food Dinner/Grav/Sauce/Special,"VOMITING, DIARRHOEA, VOMITING, DIARRHOEA"
aaa international seafood corporation frozen yellowfin tuna steak, Fishery/Seafood Prod,"URTICARIA, SKIN DISCOLOURATION, RASH, LOCALISED OEDEMA, LIP SWELLING, FOOD POISONING, ERYTHEMA, URTICARIA, SKIN DISCOLOURATION, RASH, LOCALISED OEDEMA, LIP SWELLING, HYPERSENSITIVITY, FOOD POISONING, ERYTHEMA"
aarzo nuts  dry fruits fresh dates, Fruit/Fruit Prod,"Vomiting, Nausea, Abdominal pain upper"
aashirvaad atta, Whole Grain/Milled Grain Prod/Starch,Food poisoning
abalone, Fishery/Seafood Prod,"MALAISE, GASTROENTERITIS VIBRIO, GASTROENTERITIS VIBRIO, DIARRHOEA, ABDOMINAL PAIN"
abbott eas soy protein powder chocolate flavor, Dietary Conventional Foods/Meal Replacements,"URINE ANALYSIS ABNORMAL, TENDERNESS, SKIN DISCOLOURATION, PAIN, NAUSEA, LIVER FUNCTION TEST ABNORMAL, LETHARGY, JAUNDICE, HEPATOTOXICITY, HEPATITIS, HEPATIC PAIN, CHROMATURIA, CHANGE OF BOWEL HABIT"
abbott elecare jr, Dietary Conventional Foods/Meal Replacements,DIARRHOEA
abbott ensure max protein shake  cafe mocha, Dietary Conventional Foods/Meal Replacements,"Poisoning, Malaise"
abbott go  grow by similac milk based,N Ready to Serve Formula,"Frequent bowel movements, Abdominal pain upper"
abbott laboratories ensure, Dietary Conventional Foods/Meal Replacements,"THIRST, NAUSEA, LIP SWELLING, HEADACHE, DYSGEUSIA, BURNING SENSATION, ABNORMAL FAECES, ABDOMINAL PAIN, ABDOMINAL PAIN"
abbott laboratories pediasure, Baby Food Products,VOMITING
abbott labs jevity, Dietary Conventional Foods/Meal Replacements,"MUCOSAL INFLAMMATION, INFLUENZA LIKE ILLNESS, DYSPHAGIA"
abbott liquid protein fortifier, Dietary Conventional Foods/Meal Replacements,"NECROTISING COLITIS, KLEBSIELLA INFECTION, ISCHAEMIA, INGUINAL HERNIA, ENTEROCOCCAL INFECTION, CARDIAC FAILURE, CARDIAC ARREST, ABDOMINAL DISTENSION"
abbott nutrition ensure, Dietary Conventional Foods/Meal Replacements,"DIARRHOEA, ABDOMINAL PAIN UPPER"
abbott nutrition ensure chocolate drink, Dietary Conventional Foods/Meal Replacements,"NAUSEA, DIZZINESS, ABDOMINAL PAIN"
abbott nutrition similac advanced early shield, Baby Food Products,"DYSPEPSIA, ABDOMINAL PAIN"
abbott nutrition similac organic powdered infant formula, Baby Food Products,"VOMITING, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA"
abbott nutrition similac sensitive, Baby Food Products,"FLATULENCE, CONSTIPATION"
abbott pediasure sidekicks, Dietary Conventional Foods/Meal Replacements,WEIGHT DECREASED
abbott similac advance optigrow powdered infant formula, Baby Food Products,"PYREXIA, PAIN, LETHARGY, FEELING OF BODY TEMPERATURE CHANGE, ERYTHEMA, ENTEROBACTER TEST POSITIVE, ENTEROBACTER INFECTION, CRYING, ANXIETY"
abbott similac advanced powdered infant formula with iron, Baby Food Products,"VOMITING, NAUSEA, DISCOMFORT, CRYING"
abbott similac alimentum for food allergies and colic due to protein sensitivity infant formula et al, Baby Food Products,DIARRHOEA
abbott similac human milk fortifier liquid, Baby Food Products,"ULTRASOUND SCAN ABNORMAL, NECROSIS, MENINGITIS CRONOBACTER"
abbott twocal hn high nitrogen liquid nutrition vanilla, Dietary Conventional Foods/Meal Replacements,DIARRHOEA
abbotts abbots organic similac infant powder, Baby Food Products,"VOMITING, NAUSEA, CONVULSION, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN"
abbotts similac soy advanced isomil powdered formula, Baby Food Products,"VOMITING, DIARRHOEA"
abbys bakery frozen home style cinnamon rolls, Bakery Prod/Dough/Mix/Icing,"VOMITING, URTICARIA, DYSPNOEA, ABDOMINAL PAIN"
abc bakers interbake foods llc girl scout cookie shortbread, Bakery Prod/Dough/Mix/Icing,"VOMITING, THROAT TIGHTNESS, PRESYNCOPE, DYSPNOEA"
abc cocina tuna burger, Fishery/Seafood Prod,"VISION BLURRED, NAUSEA, FLUSHING, DIARRHOEA"
abc corn bars, Snack Food Item,"SWELLING FACE, HYPERSENSITIVITY, GLOSSITIS"
aberfole pure life spring water, Soft Drink/Water,"PARAESTHESIA ORAL, NAUSEA, DIARRHOEA, BODY TEMPERATURE INCREASED"
aberfoyle spring water, Soft Drink/Water,NAUSEA
abita springs water spring water, Soft Drink/Water,"WHITE BLOOD CELL COUNT INCREASED, NAUSEA, NAUSEA, FATIGUE, DIARRHOEA, WHITE BLOOD CELL COUNT INCREASED, NAUSEA, NAUSEA, FATIGUE, DIARRHOEA"
absolutely divine intense dark chocolate, Choc/Cocoa Prod,"PRURITUS, ORAL DYSAESTHESIA, NAUSEA, NAUSEA"
absolutely gluten free flatbread, Bakery Prod/Dough/Mix/Icing,"Muscle spasms, Heart rate irregular, Gastric haemorrhage, Food poisoning, Flushing, Faeces discoloured, Back pain, Abdominal pain upper"
absopure all natural spring water, Soft Drink/Water,"VOMITING, SALIVARY HYPERSECRETION, EXPOSURE VIA INGESTION, DROOLING, DIARRHOEA"
absopure bottled water, Soft Drink/Water,"RASH, NAUSEA, DIARRHOEA"
absopure natural spring water, Soft Drink/Water,"RECTAL HAEMORRHAGE, PAIN, FATIGUE, DIZZINESS, DIARRHOEA, DEFAECATION URGENCY, BODY TEMPERATURE INCREASED, LETHARGY, LETHARGY"
absopure spring water, Soft Drink/Water,"OESOPHAGEAL IRRITATION, HYPERSENSITIVITY, FLUSHING, ERYTHEMA"
absopure water, Soft Drink/Water,HYPOAESTHESIA
acadia bottled water, Soft Drink/Water,"DIARRHOEA, ABDOMINAL PAIN, DIARRHOEA, ABDOMINAL PAIN, NAUSEA"
acadia natural spring water, Soft Drink/Water,"VOMITING, NAUSEA, DYSPEPSIA, DIZZINESS, VOMITING, NAUSEA, HEADACHE, DIARRHOEA, HEADACHE, HEADACHE, NAUSEA, SALMONELLOSIS, SALMONELLA TEST POSITIVE, MUCOUS STOOLS, MALAISE, HAEMATOCHEZIA, DIARRHOEA"
acadia spring water, Soft Drink/Water,"LEUKOCYTOSIS, HAEMATOCHEZIA, GASTROENTERITIS AEROMONAS, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, BODY TEMPERATURE INCREASED"
acai 10 super blend fruit juice drink, Fruit/Fruit Prod,"PAIN, FLATULENCE, DYSPEPSIA, DIARRHOEA, ABDOMINAL DISTENSION"
accera axona, Dietary Conventional Foods/Meal Replacements,"VOMITING, SEDATION, NAUSEA, LIVER FUNCTION TEST ABNORMAL, LIPASE INCREASED, ABDOMINAL PAIN UPPER"
accera inc axona, Dietary Conventional Foods/Meal Replacements,"VOMITING, PANCREATITIS, HEPATIC ENZYME INCREASED, DECREASED APPETITE, BACK PAIN, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, VOMITING, PANCREATITIS, NAUSEA, LIPASE INCREASED, BLOOD AMYLASE INCREASED, ABDOMINAL PAIN, LYME DISEASE, DEPRESSED MOOD, NAUSEA, LOSS OF CONSCIOUSNESS, DEHYDRATION"
access fat conversion activity bar, Dietary Conventional Foods/Meal Replacements,"WEIGHT DECREASED, HEART RATE INCREASED"
ace bakery garlic batard, Bakery Prod/Dough/Mix/Icing,"VOMITING, DIZZINESS"
ace energy drink, Soft Drink/Water,"SYNCOPE, PALPITATIONS, MUSCLE SPASMS, JOINT STIFFNESS, JOINT LOCK, CHEST PAIN, ATELECTASIS"
ace juice pops, Ice Cream Prod,BURNING SENSATION
ace of diamonds chunk white tuna, Fishery/Seafood Prod,DIARRHOEA
ace of diamonds whole baby clams in brine, Fishery/Seafood Prod,"VOMITING, NAUSEA, HYPERHIDROSIS, DIARRHOEA"
ace of diamonds whole smoked oysters, Fishery/Seafood Prod,"VOMITING, MALAISE, DIARRHOEA, ABDOMINAL PAIN"
acela train veggie burger with lettuce tomato mayo, Mult Food Dinner/Grav/Sauce/Special,"NAUSEA, MYALGIA, HEADACHE, HAEMATOCHEZIA, FATIGUE, DIARRHOEA, DECREASED APPETITE, CHILLS, CAMPYLOBACTER INTESTINAL INFECTION, ASTHENIA, ABDOMINAL PAIN"
acme essential everyday no calorie aspartame, Food Additives (Human Use),"FATIGUE, DIZZINESS"
acme fish smoked wild alaskan cod fish, Fishery/Seafood Prod,"PHARYNGEAL INJURY, OROPHARYNGEAL PAIN, LACERATION"
acme natural spring water, Soft Drink/Water,"DIZZINESS, BURNING SENSATION"
acme raw chicken," Meat, Meat Products and Poultry","NAUSEA, MUSCLE FATIGUE, FATIGUE, ASTHENIA"
acme signature kitchens buttermilk waffles, Bakery Prod/Dough/Mix/Icing,"DYSPEPSIA, VOMITING"
acme spinach, Vegetables/Vegetable Products,"VOMITING, MALAISE, DIARRHOEA, ABDOMINAL PAIN, VOMITING, MALAISE, DIARRHOEA, ABDOMINAL PAIN"
acme stuffing, Bakery Prod/Dough/Mix/Icing,"NAUSEA, MUSCLE FATIGUE, FATIGUE, ASTHENIA"
acqua panna natural spring water, Soft Drink/Water,"THROAT IRRITATION, PHYSICAL EXAMINATION, EMERGENCY CARE EXAMINATION"
acrezzio flat fillet of anchovies, Fishery/Seafood Prod,"NAUSEA, HEADACHE, FOOD POISONING, DYSPNOEA, DYSGEUSIA, DIZZINESS, DIARRHOEA, CHILLS, NAUSEA, HEADACHE, FOOD POISONING, DYSPNOEA, DYSGEUSIA, DIZZINESS, DIARRHOEA, CHILLS"
act ii americas 1 microwave popcorn with butter, Snack Food Item,HEADACHE
act ii kettle corn, Snack Food Item,"URTICARIA, SKIN DISORDER, RESPIRATORY RATE INCREASED, RASH MACULAR, PARAESTHESIA, PALPITATIONS, HYPERSENSITIVITY, HEART RATE INCREASED, HEART RATE INCREASED, HEART RATE ABNORMAL, ERYTHEMA, DYSPNOEA, CHEST PAIN, CARDIAC FIBRILLATION, BURNING SENSATION, MIGRAINE, MALAISE, HEADACHE"
act ii microwave butter popcorn, Snack Food Item,"WHITE BLOOD CELL DISORDER, PULSE ABSENT, PRURITUS, MYOCARDIAL INFARCTION, LOCALISED OEDEMA, HEART RATE IRREGULAR, CONVULSION, BURNING SENSATION, ANAPHYLACTIC SHOCK"
act ii microwave popcorn, Whole Grain/Milled Grain Prod/Starch,"PHYSICAL EXAMINATION, BURNING SENSATION"
act ii microwave popcornbuttery kettle, Snack Food Item,"NAUSEA, DIARRHOEA"
act ii microwaveable kettle corn, Snack Food Item,"SWOLLEN TONGUE, SWELLING FACE, EMERGENCY CARE EXAMINATION"
act ii popcorn, Snack Food Item,"NAUSEA, HEADACHE, DIZZINESS, DIARRHOEA"
activia black cherry yogurt, Milk/Butter/Dried Milk Prod,TOOTH FRACTURE
activia blueberry yogurt, Milk/Butter/Dried Milk Prod,"VOMITING, FLATULENCE, ERUCTATION, DIARRHOEA, DEHYDRATION, ABDOMINAL PAIN UPPER, ABDOMINAL DISTENSION"
activia by dannon lowfat yogurt, Milk/Butter/Dried Milk Prod,"VOMITING, NAUSEA, DECREASED APPETITE, ABDOMINAL PAIN UPPER, ABDOMINAL DISTENSION"
activia dannon yogurt, Milk/Butter/Dried Milk Prod,"VENTRICULAR EXTRASYSTOLES, THROAT IRRITATION, GASTROOESOPHAGEAL REFLUX DISEASE, ABDOMINAL PAIN UPPER"
activia greek yogurt raspberry, Milk/Butter/Dried Milk Prod,"DIARRHOEA, ABDOMINAL PAIN UPPER"
activia strawberry flavor, Milk/Butter/Dried Milk Prod,"Wheezing, Swelling, Respiratory distress, Lip swelling, Hypersensitivity, Eye swelling, Dyspnoea"
activia strawberry light yogurt, Milk/Butter/Dried Milk Prod,"LOCAL SWELLING, FUNGAL INFECTION"
activia strawberry yogurt, Milk/Butter/Dried Milk Prod,"URTICARIA, SWELLING, HYPERSENSITIVITY, DYSPNOEA, VOMITING"
activia variety flavor pack  6 ct, Milk/Butter/Dried Milk Prod,"VOMITING, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
activia yogurt, Milk/Butter/Dried Milk Prod,"THROAT IRRITATION, DISCOMFORT, RED BLOOD CELL COUNT DECREASED, PEPTIC ULCER, FATIGUE, FAECES DISCOLOURED, DIARRHOEA, BLOOD PRESSURE FLUCTUATION, BLOOD PRESSURE DECREASED, ABDOMINAL PAIN"
adams  brooks pnuttles butter toffee covered peanuts, Nuts/Edible Seed,"PAIN IN EXTREMITY, HEADACHE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN"
adams 100 natural creamy peanut butter, Nuts/Edible Seed,"NAUSEA, VOMITING, MALAISE, DIARRHOEA"
adams 100 natural peanut butter, Nuts/Edible Seed,"Malaise, Diarrhoea"
adams and brooks inc pnuttles plus coconut, Candy W/O Choc/Special/Chew Gum,NAUSEA
adams fairacre raw pine nuts, Nuts/Edible Seed,DYSGEUSIA
adams peanut butter, Nuts/Edible Seed,SOMNOLENCE
adams peppermint extract flavoring," Spices, Flavors And Salts","RECTAL HAEMORRHAGE, ORAL DISCOMFORT, ABDOMINAL DISTENSION"
addis blues blueberries, Fruit/Fruit Prod,VOMITING
adelphia seafood crab salad, Fishery/Seafood Prod,"VOMITING, NAUSEA, FOOD POISONING, DIARRHOEA"
adirondack orange soda, Soft Drink/Water,VOMITING
adirondack soda, Soft Drink/Water,"VOMITING, MALAISE"
adolphs tenderizer sodium freeoriginalunseasonedall naturalno msg," Spices, Flavors And Salts","VOMITING, NAUSEA, MALAISE, DIARRHOEA"
adrenaline rush, Dietary Conventional Foods/Meal Replacements,"VISION BLURRED, PHYSICAL EXAMINATION, PANIC ATTACK, INSOMNIA, FATIGUE, DIZZINESS, DISTURBANCE IN ATTENTION, DEPENDENCE, DECREASED APPETITE, CONFUSIONAL STATE, ANXIETY, ADRENAL INSUFFICIENCY"
advanced food concepts sushi made with salmon steelhead trout, Fishery/Seafood Prod,"SKIN DISCOLOURATION, RASH, NAUSEA, FLUSHING, ABDOMINAL PAIN, SKIN DISCOLOURATION, RASH, NAUSEA, FLUSHING, ABDOMINAL PAIN, SKIN DISCOLOURATION, RASH, NAUSEA, FLUSHING, ABDOMINAL PAIN"
advanced food concepts sushi made with tuna, Fishery/Seafood Prod,"SKIN DISCOLOURATION, RASH, NAUSEA, FLUSHING, ABDOMINAL PAIN, SKIN DISCOLOURATION, RASH, NAUSEA, FLUSHING, ABDOMINAL PAIN, SKIN DISCOLOURATION, RASH, NAUSEA, FLUSHING, ABDOMINAL PAIN"
advanced internal cleansing program  kleritea, Coffee/Tea,"Haematochezia, Abdominal pain"
advant edge carb control chocolate fudge shake, Dietary Conventional Foods/Meal Replacements,"VOMITING, URTICARIA, THROAT IRRITATION, SKIN BURNING SENSATION, PRURITUS, MALAISE, GINGIVAL PRURITUS, DYSPNOEA, DIZZINESS, DIARRHOEA"
advantedge low carb rich dark chocolate shake beverage, Dietary Conventional Foods/Meal Replacements,"VOMITING, PAROSMIA, MALAISE, DYSGEUSIA"
advobar am perfectly peach, Dietary Conventional Foods/Meal Replacements,"SWOLLEN TONGUE, SWELLING FACE, RASH, PRURITUS, ORAL ALLERGY SYNDROME, LIP SWELLING"
advobar cranberry orange, Snack Food Item,"Pyrexia, Nausea, Hypotension, Diverticulitis, Diarrhoea, Decreased appetite, Abdominal pain lower"
