Product,Description,MedDRA Preferred Terms
a thousand virgins g3 grey wash tattoo ink, Cosmetics,"SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION, SKIN INFECTION, RASH PAPULAR, MYCOBACTERIUM CHELONAE INFECTION"
a thousand virgins gray wash system, Cosmetics,"RASH PUSTULAR, BIOPSY SKIN ABNORMAL, ABSCESS"
a thousand virgins tattoo ink, Cosmetics,"PAIN, LOCAL SWELLING, INFECTION, FEELING HOT"
absolute dawn lip gloss, Cosmetics,"THIRST, SKIN DISCOLOURATION, RASH PAPULAR, RASH, DYSGEUSIA, ACNE"
acai professional brazilian blowout solution, Cosmetics,"Pruritus, Ocular hyperaemia, Nasal discomfort, Lacrimation increased, Headache, Dysphagia, Bronchospasm"
acqua di gio fragrance in a spray bottle, Cosmetics,BURNING SENSATION
acquarella nail polish, Cosmetics,Burning sensation
acrylic nail adhesive, Cosmetics,"SWELLING, HAEMORRHAGE, CONTUSION"
acrylic nails, Cosmetics,"SYSTEMIC ANTIBACTERIAL THERAPY, PRURITUS, PHYSIOTHERAPY, ONYCHOMADESIS, HYPERSENSITIVITY, DERMATITIS EXFOLIATIVE, BLISTER, Nail discolouration"
act dry mouth lozenges, Cosmetics,"Faeces discoloured, Diarrhoea, Abdominal pain upper"
active hydration serum, Cosmetics,"Swelling face, Skin hyperpigmentation, Rash macular, Rash, Dermatitis, Chemical injury"
active serum, Cosmetics,"SKIN CANCER, HYPOTRICHOSIS"
acure cgf oil free serum, Cosmetics,"Rash, Feeling hot, Erythema, Burning sensation"
adore cosmetics cellmax thermal mask, Cosmetics,"PRURITUS, ERYTHEMA, BURNING SENSATION"
adore essence facial collagen mask, Cosmetics,"RASH, LOCAL SWELLING"
adore essence facial serum, Cosmetics,"RASH, LOCAL SWELLING"
adore eye cream  advanced aging eye cream, Cosmetics,"EYE SWELLING, BURNING SENSATION"
adore golden touch facial mask, Cosmetics,"RASH, LOCAL SWELLING"
adore instant face lift, Cosmetics,"ERYTHEMA, BURNING SENSATION"
adore organic beauty product, Cosmetics,"SKIN IRRITATION, EYE SWELLING"
adore organic innovation cleanser, Cosmetics,"SKIN SENSITISATION, SKIN EXFOLIATION, RASH, PRURITUS, ERYTHEMA, DRY SKIN, BURNING SENSATION, ACNE"
adore organic innovation moisturizer, Cosmetics,"SKIN SENSITISATION, SKIN EXFOLIATION, RASH, PRURITUS, ERYTHEMA, DRY SKIN, BURNING SENSATION, ACNE"
adore organic innovation toner, Cosmetics,"SKIN SENSITISATION, SKIN EXFOLIATION, RASH, PRURITUS, ERYTHEMA, DRY SKIN, BURNING SENSATION, ACNE"
adore organic innovations eye cream, Cosmetics,"SWELLING FACE, EYE OEDEMA, BURNING SENSATION, BLISTER"
adore organic innovations face, Cosmetics,"SWELLING FACE, EYE OEDEMA, BURNING SENSATION, BLISTER"
adore skin tightening instant face lift, Cosmetics,"RASH, LOCAL SWELLING"
adore snow white facial brightening cream, Cosmetics,"RASH, LOCAL SWELLING"
aequo color creme permanent hair color, Cosmetics,ADVERSE REACTION
african black soap, Cosmetics,RASH ERYTHEMATOUS
african black soap bars, Cosmetics,LACERATION
african black soap clarifying mud mask, Cosmetics,"SUNBURN, SCAB, EXCORIATION, ERYTHEMA, BURNING SENSATION"
african pride hair relaxant, Cosmetics,HYPOTRICHOSIS
african pride miracle deep conditioning nolye relaxer system, Cosmetics,"HYPOTRICHOSIS, ALOPECIA"
african pride nolye relaxer system, Cosmetics,"SKIN BURNING SENSATION, HAIR TEXTURE ABNORMAL, HAIR DISORDER"
african pride olive miracle maxium strengthening moisturizer lotion, Cosmetics,"VISION BLURRED, PALPITATIONS, HEART RATE IRREGULAR, DYSPNOEA, DYSPNOEA, CARDIAC FIBRILLATION, BURNING SENSATION"
african pride relaxer, Cosmetics,TRICHORRHEXIS
africas best herbal intensive dual conditioning nolye relayer system, Cosmetics,"Trichorrhexis, Headache, Furuncle, Alopecia"
africas best no lye relaxer regular, Cosmetics,"TRICHORRHEXIS, HYPOTRICHOSIS, CHEMICAL BURN OF SKIN"
africas best no lye relaxer system regular strength, Cosmetics,"HYPOTRICHOSIS, ALOPECIA"
africian formula genuine hair gel, Cosmetics,NAIL DISCOLOURATION
age defying face serum, Cosmetics,Skin burning sensation
age defying night cream neriumad, Cosmetics,"Skin exfoliation, Erythema, Burning sensation, Skin exfoliation, Erythema"
ageless eye serum, Cosmetics,"Eye swelling, Blepharospasm"
ageless facial serum lumanere, Cosmetics,"Rash, Pruritus"
agora serum, Cosmetics,"Swelling face, Rash, Eye swelling"
aha revitalizng cream, Cosmetics,"Skin sensitisation, Pain, Erythema, Dry skin, Burning sensation"
ahava body sorbet body cream, Cosmetics,"SKIN DISCOLOURATION, FALL, BLOOD HEAVY METAL INCREASED"
ahava time to hydrate, Cosmetics,"SWELLING, RASH MACULAR, PRURITUS, LACRIMATION INCREASED, EYE IRRITATION, ERYTHEMA"
aim toothpaste, Cosmetics,"VOMITING, MALAISE, DYSPEPSIA, DIZZINESS"
ajr products inc joey new york pure pores, Cosmetics,CAUSTIC INJURY
alaffia fair trade everyday shea butter, Cosmetics,"NAUSEA, NAIL DISCOLOURATION, CONSTIPATION"
alaffia neem oil, Cosmetics,"CHEMICAL INJURY, ALOPECIA"
alba botanica body lotion, Cosmetics,"URTICARIA, SKIN IRRITATION, HYPERSENSITIVITY, BURNING SENSATION, URTICARIA, SKIN IRRITATION, HYPERSENSITIVITY, BURNING SENSATION, URTICARIA, SKIN IRRITATION, HYPERSENSITIVITY, BURNING SENSATION"
alba botanica face mask volcanic clay, Cosmetics,"PAIN, CHEMICAL INJURY"
alba botanica hawaiian detox sheet mask, Cosmetics,"Rash, Chemical injury, Burning sensation"
alba deep sea facial mask, Cosmetics,"SECRETION DISCHARGE, PRURITUS, FACE OEDEMA, EYE SWELLING, EYE PRURITUS, ERYTHEMA"
alberto culver alberto v05 strengthening shampoo, Cosmetics,"HYPOTRICHOSIS, ALOPECIA"
alberto culver consort for men hairspray, Cosmetics,"SKIN IRRITATION, SKIN DESQUAMATION, SCAB, PRURITUS"
alberto v05, Cosmetics,"PRURITUS, ALLERGY TO CHEMICALS, ALLERGY TEST POSITIVE"
alberto v05 extra body voluminizing shampoo, Cosmetics,"VISUAL ACUITY REDUCED, EYE SWELLING, EYE SWELLING"
alberto vo5 2 in 1 moisturizing, Cosmetics,"Vitreomacular interface abnormal, Skin discolouration, Rib deformity, Nose deformity, Hair texture abnormal, Hair colour changes, Fluid retention, Deformity, Deafness, Craniofacial deformity, Craniofacial deformity, Craniofacial deformity, Atrophy, Alopecia, Acne"
alberto vo5 hot oil treatment for hair, Cosmetics,"SWELLING FACE, PHYSICAL EXAMINATION, EYE SWELLING, CHEMICAL BURN OF SKIN, BURNING SENSATION"
alberto vo5 volumizing shampoo and conditioner, Cosmetics,ALOPECIA
alfaparf milano jeans color, Cosmetics,HYPERSENSITIVITY
alina skin care ultimate eye cream, Cosmetics,"SKIN WRINKLING, BURNING SENSATION"
all conditioners, Cosmetics,"TRICHORRHEXIS, PAIN OF SKIN"
all natural soap bars classic castille goats milk soap, Cosmetics,"Rash, Pain"
all natural soap bars nasal relief herbal soap, Cosmetics,"Rash, Pain"
all nutrient deep natural blond 7ne, Cosmetics,"Skin ulcer, Rash, Pruritus, Blister"
all shampoos, Cosmetics,"TRICHORRHEXIS, PAIN OF SKIN"
all wen hair products, Cosmetics,"PRURITUS, PAIN, HAIR TEXTURE ABNORMAL, DEPRESSION, CHEILITIS, ALOPECIA, ALOPECIA"
allergen prevage antiwrinkle, Cosmetics,"URTICARIA, SWELLING"
allione hemp unscented babymild purecastile soap, Cosmetics,"Rash pruritic, Rash generalised"
allumera, Cosmetics,"THERMAL BURN, BLISTER"
allways natural super gro conditioning hair dress, Cosmetics,"HYPERTENSION, DYSPNOEA, COUGH"
almay 01 purple amethyst eyeliner, Cosmetics,"HYPERSENSITIVITY, EYE INFECTION VIRAL, CONJUNCTIVITIS"
almay amazing lasting 16 hour concealer spf6, Cosmetics,"KERATOCONJUNCTIVITIS SICCA, EYE SWELLING, EYE IRRITATION, APPLICATION SITE BRUISING"
almay colorcare liquid lip balm, Cosmetics,"URTICARIA, SWELLING, PARAESTHESIA ORAL, PARAESTHESIA, ORAL ALLERGY SYNDROME, LIP PRURITUS, ERYTHEMA"
almay eye liner, Cosmetics,"TENDERNESS, OCULAR HYPERAEMIA, EYE IRRITATION, DRY SKIN, DARK CIRCLES UNDER EYES, COMPLICATION OF DEVICE REMOVAL"
almay hypoallergenic moisturizing eye makeup remover, Cosmetics,"SKIN IRRITATION, ERYTHEMA, BURNING SENSATION"
almay intense i color eyeliner, Cosmetics,"VISION BLURRED, OCULAR HYPERAEMIA, EYELID MARGIN CRUSTING, EYE IRRITATION, DRY EYE"
almay intense i color purple amethyst, Cosmetics,"PAIN, EYELID MARGIN CRUSTING, EYE SWELLING, EYE PRURITUS, CONJUNCTIVITIS"
almay intense icolor color 002 brown topaz eye liner pencil, Cosmetics,"SWELLING FACE, PRURITUS, HYPERSENSITIVITY, EYE SWELLING, ECZEMA, DRY SKIN"
almay intense icolor eyeliner, Cosmetics,EYE INFECTION
almay intense icolor liner purple amethyst, Cosmetics,"SECRETION DISCHARGE, PRURITUS, EYE SWELLING, EYE DISCHARGE, ERYTHEMA"
almay intense icolor shimmeri kit item  401 smokey  i  for brown, Cosmetics,"TENDERNESS, OCULAR HYPERAEMIA, EYE IRRITATION, DRY SKIN, DARK CIRCLES UNDER EYES, COMPLICATION OF DEVICE REMOVAL"
almay intense purple amethyst eyeliner, Cosmetics,"OCULAR HYPERAEMIA, EYE DISCHARGE"
almay makeup remover  gentle oil free wipes, Cosmetics,"Vision blurred, Eye pain, Eye irritation, Eye burns, Dry eye"
almay mascara, Cosmetics,"TENDERNESS, OCULAR HYPERAEMIA, EYE IRRITATION, DRY SKIN, DARK CIRCLES UNDER EYES, COMPLICATION OF DEVICE REMOVAL"
almay moisturizing eye makeup remover pads aloe green tea and cucumber, Cosmetics,EYE SWELLING
almay moisturizing makeup remover pads, Cosmetics,"OCULAR HYPERAEMIA, INSOMNIA, EYE SWELLING, EYE PAIN, EYE IRRITATION"
almay oil free liquid eye makeup remover, Cosmetics,"THERMAL BURN, EYE IRRITATION"
almay one coat nourishing mascara  black, Cosmetics,"HYPERSENSITIVITY, BURNING SENSATION"
almay one coat nourishing thickening mascara, Cosmetics,"HYPERSENSITIVITY, HORDEOLUM, EYE IRRITATION, EYE INFECTION, EYE DISORDER, BLISTER, BLISTER"
almond shea butter conditioner, Cosmetics,"TENSION, TEMPOROMANDIBULAR JOINT SYNDROME, PAIN, GASTROOESOPHAGEAL REFLUX DISEASE, BACTERIAL INFECTION"
aloe vella wrinkless cream, Cosmetics,"PRURITUS, NAIL DISCOLOURATION, LOCALISED OEDEMA, FLUSHING, ERYTHEMA, CYANOSIS"
aloe vera 80 styling spray, Cosmetics,"RASH, PRURITUS"
aloe vesta body wash  shampoo, Cosmetics,"SKIN SENSITISATION, LOCAL SWELLING, INFECTION, ERYTHEMA"
aloe vesta perineal cleanser, Cosmetics,ADVERSE REACTION
alpha lipoic acid 5, Cosmetics,Skin exfoliation
alphaparf, Cosmetics,"PAIN, CHEMICAL BURN OF SKIN"
alterna bamboo 2 in 1 volumizer, Cosmetics,"THYROID DISORDER, RENAL DISORDER, MYALGIA, MUSCULOSKELETAL STIFFNESS, LIVER DISORDER, HEART RATE INCREASED, CARDIAC DISORDER, BLOOD THYROID STIMULATING HORMONE INCREASED, BLOOD PRESSURE INCREASED, AMENORRHOEA"
alvacor hair care system physician topical formula, Cosmetics,"VISION BLURRED, HEADACHE"
alvacor hair care system scalp detoxifying shampoo, Cosmetics,"VISION BLURRED, HEADACHE"
amallina salon black henna tattoo, Cosmetics,"SKIN REACTION, PRURITUS, HYPERSENSITIVITY, BURNING SENSATION, BLISTER"
amazon keratin, Cosmetics,"RASH, PRURITUS, HYPERSENSITIVITY, BLISTER"
ambi skincare black soap with shea butter, Cosmetics,"Skin disorder, Skin discolouration"
american beauty ultimate diamond mineral make up, Cosmetics,"PRURITUS, BURNING SENSATION"
american crew daily conditioner, Cosmetics,"PRURITUS, LYMPHATIC DISORDER, INFECTION, DERMATITIS, ALOPECIA, Skin irritation, Alopecia"
american crew firm hold gel, Cosmetics,"PRURITUS, LYMPHATIC DISORDER, INFECTION, DERMATITIS, ALOPECIA"
american crew pomade, Cosmetics,"PRURITUS, LYMPHATIC DISORDER, INFECTION, DERMATITIS, ALOPECIA"
american crew pomade hair gel, Cosmetics,"HEADACHE, ERYTHEMA, CEREBROVASCULAR ACCIDENT"
american crew shampoo moisturizing, Cosmetics,"PRURITUS, LYMPHATIC DISORDER, INFECTION, DERMATITIS, ALOPECIA"
american cultrue keratin straightening, Cosmetics,"THROAT TIGHTNESS, THROAT IRRITATION, SWELLING, PRURITUS, NASAL DISCOMFORT, LACRIMATION INCREASED, HYPERSENSITIVITY, HEADACHE, EYE PRURITUS, EAR PAIN, EAR DISCOMFORT, DYSPNOEA"
american hotel conditioner, Cosmetics,"RASH, PRURITUS, DERMATITIS CONTACT"
american hotel shampoo, Cosmetics,"RASH, PRURITUS, DERMATITIS CONTACT"
american international industries finishing balm, Cosmetics,"SKIN BLEEDING, PAIN, PAIN, ERYTHEMA, BURNING SENSATION"
amlactin cerapeutic lotion, Cosmetics,"SKIN BURNING SENSATION, ANAPHYLACTIC SHOCK"
amlactin lotion, Cosmetics,"MYALGIA, INSOMNIA, HYPOAESTHESIA, HEADACHE, FEELING JITTERY, ASTHENIA"
ampro pro style gel, Cosmetics,"Vomiting, Rash, Headache"
ampro pro style protein style gel53, Cosmetics,"TENDERNESS, PRURITUS, HAEMORRHAGE, BURNING SENSATION, ALOPECIA"
ampro prostyle styling gel, Cosmetics,Alopecia
anastasia beverly hills dipbrow pomade, Cosmetics,ALOPECIA
andalou naturals instant life and firm hydro serum facial mask, Cosmetics,"Urticaria, Erythema, Chemical injury"
andre walker conditioner, Cosmetics,"NERVE INJURY, MUSCULAR WEAKNESS, DIZZINESS"
andre walker keratin shampoo, Cosmetics,"NERVE INJURY, MUSCULAR WEAKNESS, DIZZINESS"
angel perfume, Cosmetics,"Stillbirth, ABORTION SPONTANEOUS"
angel perfume perfume, Cosmetics,"PERFUME SENSITIVITY, DYSPNOEA EXERTIONAL, DYSPNOEA, BURNING SENSATION, BURNING SENSATION, ASTHENIA, ASTHENIA"
angel thierry mugler, Cosmetics,"Wheezing, Throat tightness, Lacrimation increased"
anjou bath bombs lemon scented, Cosmetics,"Urticaria, Swelling"
anti aging night creme, Cosmetics,"ANGIOEDEMA, ANAPHYLACTIC REACTION"
anti wrinkle complex ultra premium antiaging formula, Cosmetics,"Skin exfoliation, Blister"
antiaging night cream, Cosmetics,"URTICARIA, SWELLING FACE, EYE SWELLING"
antifreeze styling crème, Cosmetics,ALOPECIA
antioxidant day crème spf 20 uvauvb, Cosmetics,"ANGIOEDEMA, ANAPHYLACTIC REACTION"
antonanas amber lotion, Cosmetics,"OEDEMA PERIPHERAL, ERYTHEMA"
antonanas dream cream base, Cosmetics,"OEDEMA PERIPHERAL, ERYTHEMA"
any perfume or cologne, Cosmetics,"Wheezing, Malaise, Hypoaesthesia, Hypersensitivity, Headache, Dyspnoea, Dizziness"
any product with mi, Cosmetics,"SUICIDAL IDEATION, RASH, PRURITUS, INSOMNIA, BURNING SENSATION, ALLERGY TO CHEMICALS"
apothecare essentials lavender moroccan mint cactus milk shampoo, Cosmetics,"Urticaria, Rash"
apricot scrub, Cosmetics,"Body surface area decreased, Body surface area decreased"
april bath  shower body cream  coconut, Cosmetics,"SLEEP DISORDER, LETHARGY, HEADACHE, FATIGUE, BLOOD PRESSURE FLUCTUATION"
april spehar  april shower soaps, Cosmetics,"Nausea, Dyspnoea, Dizziness, Dizziness, Disorientation"
april spehar  april showers, Cosmetics,"Migraine, Malaise"
aqua reef deodorant, Cosmetics,"RASH, HYPERSENSITIVITY"
aquanet new silver beauty shampoo, Cosmetics,"RASH PAPULAR, BLISTER"
aquaphor ointment, Cosmetics,"URTICARIA, RASH, MYALGIA, ERYTHEMA, BURNING SENSATION, BLISTER, ANGINA PECTORIS, ABDOMINAL DISCOMFORT"
arbonne deep pore cleansing mask, Cosmetics,"CAUSTIC INJURY, BURNING SENSATION"
arbonne intelligence genius pads, Cosmetics,"Swelling face, Nausea, Dyspnoea"
arbonne international baby care body lotion, Cosmetics,"URTICARIA, URTICARIA"
arbonne international llc nutrimin c re9 toner, Cosmetics,"SKIN BURNING SENSATION, SKIN BURNING SENSATION, SKIN BURNING SENSATION"
arbonne international made in the shade self tanner, Cosmetics,"VITILIGO, PIGMENTATION DISORDER"
arbonne mist balancing toner, Cosmetics,"CAUSTIC INJURY, BURNING SENSATION"
arbonne moisturizing face creams containing aha, Cosmetics,"PARAESTHESIA ORAL, APPLICATION SITE URTICARIA, APPLICATION SITE DESQUAMATION"
arbonne nutrimin c, Cosmetics,"CAUSTIC INJURY, BURNING SENSATION"
arbonne reveal scrub, Cosmetics,"CAUSTIC INJURY, BURNING SENSATION"
arbonne skin care product sample packets repair night cream, Cosmetics,"SWELLING, SKIN EXFOLIATION, PRURITUS, PAIN, ERYTHEMA, DRY EYE"
ardel trademark surgi cream facial hair remover, Cosmetics,"SKIN BLEEDING, PAIN, PAIN, ERYTHEMA, BURNING SENSATION"
ardell duo lash adhesive dark, Cosmetics,"Ocular hyperaemia, Eyelid irritation, Eye swelling, Eye irritation"
ardell eye lash adhesive, Cosmetics,"SWELLING, SWELLING, HYPERSENSITIVITY, EYE PRURITUS"
ardell fake eyelashes, Cosmetics,"VISION BLURRED, PAIN, LACRIMATION INCREASED, HEADACHE, DECREASED APPETITE, BURNING SENSATION, BURNING SENSATION"
ardell international surgicream, Cosmetics,"SKIN WRINKLING, SKIN IRRITATION, SKIN DISCOLOURATION, SKIN DISCOLOURATION, RASH, PAIN, OEDEMA, HYPOAESTHESIA, HYPERSENSITIVITY, HYPERAESTHESIA, ERYTHEMA, DERMATITIS EXFOLIATIVE"
ardell lashgrip eyelash adhesive, Cosmetics,"VISION BLURRED, EYE SWELLING, EYE INFLAMMATION"
ardell lashtite eyelash adhesive, Cosmetics,"SKIN IRRITATION, FOREIGN BODY TRAUMA"
ardell selfadhesive lashes, Cosmetics,"Madarosis, Infection, Hypersensitivity"
ardell surgicream depilatory, Cosmetics,"ERYTHEMA, BURNING SENSATION"
arm  hammer deodorant, Cosmetics,"RASH PRURITIC, RASH"
arm and hammer dental care tooth powder, Cosmetics,"URTICARIA, TREMOR, DYSPNOEA, DYSGEUSIA, BODY TEMPERATURE INCREASED"
arm and hammer deodorant rollon, Cosmetics,"WOUND, PRURITUS, PAIN, INFECTION, HYPERSENSITIVITY, BURNING SENSATION, BLISTER"
armani acqua digio, Cosmetics,RASH
arminex international  cream, Cosmetics,"PRURITUS, NAIL INJURY, NAIL DISCOLOURATION, BURNING SENSATION"
arminex international  glitterbase, Cosmetics,"PRURITUS, NAIL INJURY, NAIL DISCOLOURATION, BURNING SENSATION"
arminex international  matte creme, Cosmetics,"PRURITUS, NAIL INJURY, NAIL DISCOLOURATION, BURNING SENSATION"
aromanice herbal infusion spa sandlewood body lotion, Cosmetics,"Rash, Pain"
aromatic infusions therapeutic blend  adhd, Cosmetics,ALOPECIA
aromatica rose absolute vital cream, Cosmetics,Skin discolouration
artificial nails, Cosmetics,"SWELLING, PRURITUS, ERYTHEMA"
artnaturals argan shampoo, Cosmetics,"Skin injury, Hair disorder"
artnaturals makeup remover, Cosmetics,"OCULAR HYPERAEMIA, LACRIMATION INCREASED, EYE BURNS, BURNING SENSATION"
artnaturals organic argan oil for hair face and skin grade a triple, Cosmetics,Skin irritation
as i am clarifying shampoo, Cosmetics,"Alopecia, Alopecia"
as i am hair products, Cosmetics,"Skin discolouration, Scar, Burns second degree, Burning sensation"
as i am twist defining cream, Cosmetics,"Alopecia, Alopecia"
asp color quick dip kit, Cosmetics,"THROAT IRRITATION, SKIN IRRITATION, COUGH, BRONCHOSPASM, APHONIA"
asp gel polish blue bayou, Cosmetics,"ONYCHOCLASIS, ONYCHALGIA"
asssassin, Cosmetics,"SWELLING, PRURITUS, PAIN, NAIL INJURY, NAIL DISCOLOURATION, FEELING HOT"
assured hair removal cream, Cosmetics,SCAB
assured shave cream, Cosmetics,NAUSEA
astringent, Cosmetics,"SKIN INFECTION, SKIN DISCOLOURATION, SCAR, DERMATITIS EXFOLIATIVE, CHEMICAL BURN OF SKIN, CAUSTIC INJURY, BURNING SENSATION"
at one kids with nature kids hair relaxer, Cosmetics,"TRICHORRHEXIS, HYPOTRICHOSIS"
athena cosmetics revitalash, Cosmetics,"OPTIC NERVE INJURY, INTRAOCULAR PRESSURE INCREASED, GLAUCOMA, BLINDNESS UNILATERAL, VISUAL IMPAIRMENT, VISION BLURRED, CONJUNCTIVITIS ALLERGIC, CHEMICAL EYE INJURY, TRICHORRHEXIS, HYPOTRICHOSIS"
aubrey balancing protein conditioner gpb, Cosmetics,Rash erythematous
aubrey organics sea buckthorn and cucumber with ester c moisturizing cream, Cosmetics,"SKIN SWELLING, SKIN BURNING SENSATION, PAIN OF SKIN, ERYTHEMA, BURNING SENSATION"
aura perm, Cosmetics,"HAIR DISORDER, EMOTIONAL DISTRESS, CHEMICAL BURN OF SKIN"
aura vie and skin care usa miracle face kit, Cosmetics,HYPERSENSITIVITY
aurora eye serum, Cosmetics,"PAIN, ERYTHEMA"
aussie conditioner, Cosmetics,"SWELLING FACE, HYPERSENSITIVITY"
aussie moist conditioner, Cosmetics,"WEIGHT INCREASED, INSOMNIA, HYPERSENSITIVITY, EPIDIDYMAL TENDERNESS"
aussie moist shampoo, Cosmetics,"WEIGHT INCREASED, INSOMNIA, HYPERSENSITIVITY, EPIDIDYMAL TENDERNESS"
aussie shampoo, Cosmetics,"HYPOTRICHOSIS, SWELLING FACE, HYPERSENSITIVITY"
australian goldmy passion tanning lotion, Cosmetics,"URTICARIA, PHYSICAL EXAMINATION"
ava anderson non toxic products, Cosmetics,"URTICARIA, HYPERSENSITIVITY"
ava hair shampoo conditioner, Cosmetics,"RASH, HYPERSENSITIVITY"
avacor shampoo, Cosmetics,"UNEXPECTED THERAPEUTIC DRUG EFFECT, TRICHORRHEXIS, HYPOTRICHOSIS"
avalon organic vitamin c renewal eye cream, Cosmetics,"HYPERSENSITIVITY, CAUSTIC INJURY"
avalon organics therapy biotin b complex conditioner, Cosmetics,"Pruritus, Pain, Lymphadenopathy, Dermatitis contact"
avalon organics therapy biotin b complex shampoo, Cosmetics,"Pruritus, Pain, Lymphadenopathy, Dermatitis contact"
avani moisturizing cream, Cosmetics,"SWELLING, PRURITUS, BURNING SENSATION"
avaruni skin lightening cream, Cosmetics,Skin irritation
avas cosmetics total coverage foundation, Cosmetics,"PRURITUS, HYPERSENSITIVITY, BURNING SENSATION"
aveda, Cosmetics,"PRURITUS, VOMITING, URTICARIA, PRURITUS, PAIN, NAUSEA, LIP SWELLING, HYPERSENSITIVITY, HEADACHE, FEELING ABNORMAL, ERYTHEMA, DIZZINESS, DIARRHOEA, BLOOD PRESSURE FLUCTUATION, BLOOD PRESSURE DECREASED, ABDOMINAL PAIN"
aveda all sensitive moisturizer, Cosmetics,"HYPERSENSITIVITY, RASH, PRURITUS, PAIN, ERYTHEMA, SWELLING, RASH, PRURITUS, HYPERSENSITIVITY, ERYTHEMA"
aveda body lotion, Cosmetics,"RASH, PRURITUS, DERMATITIS CONTACT, Rash, Hypersensitivity"
aveda botanical kinectics skin care line, Cosmetics,"SWELLING, RASH PAPULAR, PRURITUS, ERYTHEMA"
